0.991294	0.989216
0.990949	0.988911
0.990263	0.988307
0.989249	0.987416
0.987922	0.986252
0.986304	0.984833
0.984423	0.983184
0.982309	0.981331
0.98	0.979307
0.977535	0.977147
0.974959	0.974889
0.972318	0.972573
0.969661	0.970242
0.967038	0.967939
0.964498	0.965708
0.962092	0.963589
0.959866	0.961626
0.957866	0.959858
0.956133	0.958319
0.954704	0.957043
0.953608	0.956054
0.95287	0.955374
0.952504	0.955018
0.95252	0.954992
0.952916	0.955298
0.953686	0.955929
0.954812	0.956873
0.95627	0.95811
0.958031	0.959615
0.960057	0.961358
0.962308	0.963304
0.964739	0.965414
0.967302	0.967647
0.969947	0.969962
0.972624	0.972314
0.975285	0.974662
0.977878	0.976961
0.980358	0.97917
0.982682	0.981251
0.984807	0.983168
0.9867	0.984888
0.988328	0.986382
0.989665	0.987625
0.990688	0.988597
0.991381	0.989281
0.991733	0.989666
0.991738	0.989746
0.991396	0.98952
0.990713	0.988992
0.9897	0.988169
0.988374	0.987066
0.986757	0.985701
0.984876	0.984097
0.982761	0.982281
0.98045	0.980283
0.977981	0.978138
0.975399	0.975884
0.972751	0.97356
0.970086	0.97121
0.967453	0.968875
0.964902	0.9666
0.962482	0.964427
0.960242	0.962399
0.958226	0.960555
0.956475	0.958932
0.955026	0.957564
0.953908	0.956476
0.953145	0.955693
0.952754	0.95523
0.952742	0.955096
0.95311	0.955295
0.953848	0.955821
0.954942	0.956665
0.956368	0.957809
0.958095	0.959228
0.960088	0.960893
0.962305	0.962772
0.964701	0.964827
0.96723	0.967016
0.969841	0.969298
0.972485	0.971629
0.975113	0.973966
0.977676	0.976265
0.980126	0.978485
0.982421	0.980586
0.98452	0.982531
0.986387	0.984287
0.987991	0.985824
0.989305	0.987115
0.990308	0.98814
0.990982	0.98888
0.991318	0.989324
0.991309	0.989464
0.990955	0.989297
0.990262	0.988827
0.989241	0.98806
0.987909	0.987009
0.986289	0.985691
0.984406	0.984127
0.982293	0.982345
0.979984	0.980373
0.977521	0.978247
0.974947	0.976001
0.972309	0.973678
0.969655	0.971318
0.967035	0.968964
0.964499	0.966662
0.962095	0.964453
0.959872	0.962382
0.957874	0.96049
0.956141	0.958812
0.95471	0.957385
0.953611	0.956236
0.952867	0.95539
0.952494	0.954864
0.9525	0.954671
0.952885	0.954814
0.95364	0.95529
0.954749	0.956089
0.95619	0.957196
0.957932	0.958588
0.959939	0.960236
0.962169	0.962107
0.964579	0.964165
0.96712	0.966369
0.969744	0.968676
0.9724	0.971043
0.975038	0.973425
0.977611	0.975779
0.980072	0.978062
0.982379	0.980233
0.984492	0.982256
0.986373	0.984094
0.987993	0.985717
0.989325	0.987098
0.990347	0.988214
0.991042	0.989046
0.991399	0.989582
0.991413	0.989812
0.991084	0.989733
0.990418	0.989346
0.989426	0.988658
0.988124	0.987679
0.986534	0.986427
0.984682	0.984921
0.982602	0.983187
0.980327	0.981255
0.977898	0.979156
0.975357	0.976928
0.972749	0.97461
0.970125	0.972245
0.967531	0.969874
0.965019	0.967543
0.962636	0.965296
0.960431	0.963178
0.958448	0.961229
0.956727	0.959488
0.955304	0.957991
0.954209	0.956767
0.953463	0.955844
0.953083	0.955239
0.953078	0.954965
0.953447	0.955028
0.954182	0.955428
0.955268	0.956155
0.956682	0.957196
0.958393	0.958528
0.960366	0.960125
0.962561	0.961953
0.964933	0.963976
0.967435	0.966154
0.970019	0.968445
0.972636	0.970804
0.975236	0.973188
0.977772	0.975552
0.980197	0.977852
0.98247	0.980047
0.984549	0.982099
0.986401	0.983973
0.987992	0.985636
0.989297	0.98706
0.990294	0.98822
0.990967	0.989098
0.991305	0.989679
0.991302	0.989953
0.99096	0.989915
0.990282	0.989566
0.98928	0.988911
0.98797	0.98796
0.986374	0.986729
0.984518	0.985238
0.982433	0.983511
0.980156	0.981576
0.977725	0.979468
0.975184	0.977221
0.972578	0.974875
0.969954	0.972472
0.967363	0.970056
0.964851	0.967671
0.962468	0.965363
0.960261	0.963176
0.958274	0.961152
0.956548	0.959331
0.955117	0.957751
0.954012	0.956443
0.953255	0.955435
0.952863	0.954747
0.952843	0.954395
0.953196	0.954385
0.953912	0.954717
0.954978	0.955386
0.956371	0.956377
0.958061	0.957669
0.960012	0.959237
0.962185	0.961048
0.964536	0.963066
0.967019	0.96525
0.969584	0.967558
0.972182	0.969945
0.974767	0.972367
0.977289	0.974779
0.979705	0.977136
0.981972	0.979397
0.984049	0.981521
0.985903	0.983472
0.987502	0.985217
0.98882	0.986725
0.989835	0.987973
0.990531	0.988938
0.990897	0.989606
0.990928	0.989965
0.990623	0.99001
0.989987	0.98974
0.989031	0.989159
0.987771	0.988277
0.986229	0.987107
0.98443	0.98567
0.982403	0.983989
0.980185	0.982093
0.977813	0.980013
0.975331	0.977786
0.972781	0.975451
0.970212	0.97305
0.967671	0.970626
0.965206	0.968225
0.962865	0.965892
0.960693	0.963672
0.958736	0.96161
0.957033	0.959746
0.955618	0.958119
0.954522	0.956761
0.953768	0.955701
0.953372	0.954962
0.953341	0.95456
0.953678	0.954503
0.954374	0.954792
0.955416	0.955422
0.95678	0.95638
0.958439	0.957647
0.960359	0.959196
0.9625	0.960997
0.96482	0.963013
0.967272	0.965204
0.96981	0.967527
0.972385	0.969937
0.97495	0.972388
0.977457	0.974834
0.979861	0.977231
0.982121	0.979537
0.984196	0.981709
0.986052	0.98371
0.987657	0.985505
0.988984	0.987065
0.990012	0.988362
0.990725	0.989376
0.991109	0.990089
0.991161	0.99049
0.990878	0.990572
0.990266	0.990334
0.989333	0.989778
